customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2725-MXWGE,Female,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.11,308.75,No
2803-WLRZE,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),99.56,5322.35,No
5841-WCCEY,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,55.1,3280.0,No
1082-UMLJN,Female,0,No,Yes,42,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,57.53,2254.78,Yes
5827-QENDC,Male,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,83.96,3878.04,No
9425-HPSSD,Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.58,773.71,No
5087-QKKAY,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),83.31,862.97,Yes
3849-KZWDL,Female,0,No,Yes,71,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.73,3662.96,No
6429-GFQYH,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.81,424.8,Yes
1789-YLEAU,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.01,2067.11,Yes
2372-VXPCM,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.21,1771.12,No
8259-VEPDB,Female,1,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,78.79,293.3,No
9248-RMFHC,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.99,2394.06,Yes
9397-JVZPS,Male,0,No,Yes,40,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,58.8,2266.57,No
3465-CYSLZ,Male,0,Yes,Yes,17,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.25,1097.21,Yes
2020-SYTRZ,Male,0,Yes,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.8,1019.73,No
9122-UMYTU,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.15,3410.88,No
1592-FGULA,Female,0,No,Yes,19,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.38,1771.12,Yes
2127-KXRPJ,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,93.61,1354.28,No
3294-FQXAD,Male,0,No,No,20,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,59.68,1174.0,No
8082-CLMEY,Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.44,1195.76,No
8392-BQSCP,Male,1,Yes,Yes,38,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.34,2500.26,No
4767-GVAGC,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.69,4694.51,Yes
6755-YBPCN,Male,1,Yes,No,52,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.93,3634.83,Yes
5685-BNTAG,Male,0,No,Yes,58,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.47,3865.11,No
9753-PLTFR,Male,0,No,No,62,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.47,4943.09,No
9639-WYXWS,Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.71,1325.45,No
1514-XFZHV,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.49,807.52,No
8510-NXZBB,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.99,1277.47,No
8050-XBQEN,Female,0,No,No,68,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,81.26,5245.22,No
2275-PTPGJ,Male,0,Yes,Yes,23,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.78,1763.26,Yes
3224-VMPPA,Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.82,641.08,No
1682-EFFKE,Female,0,No,Yes,64,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,62.08,3878.14,No
8161-HBTYA,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.79,1115.87,No
6250-JMWTZ,Male,0,No,Yes,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),49.39,477.0,No
2693-LARWH,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.35,658.3,No
5794-MZUQR,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,97.06,1662.57,No
7407-SXBSW,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,87.75,2804.7,No
4495-FGNMZ,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.14,1756.72,No
5278-JMXLQ,Female,0,Yes,Yes,61,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),51.46,2994.6,Yes
9596-CRAHD,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,86.45,5775.15,Yes
8801-LVUGH,Female,0,No,Yes,54,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),53.94,2707.13,No
7404-CPCJM,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.55,1037.13,No
4938-NQYXY,Male,0,No,No,48,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,108.24,4852.61,No
6905-WYDQZ,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.38,1948.07,Yes
7998-GUAXH,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.47,151.77,Yes
3782-RJTMW,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.41,214.76,No
5300-LSBEM,Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.73,1071.63,No
2740-YDXRC,Male,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.97,1218.32,No
2669-JQUWL,Female,0,No,No,18,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.86,1436.01,No
6216-XMSCK,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,90.22,172.1,Yes
6937-MLZMG,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.01,448.07,No
5546-FRSYG,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),92.07,2016.17,Yes
3645-JMNEH,Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.34,1338.39,No
8687-GANFL,Male,1,Yes,Yes,30,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.91,1532.68,Yes
9598-PFQZQ,Male,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,92.85,6197.55,No
4511-NKMRW,Male,0,No,No,65,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,53.21,3305.41,No
9231-ZTXLC,Male,0,No,No,62,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.74,4587.33,Yes
6265-XDQLJ,Male,0,No,Yes,70,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,54.41,3592.4,No
8629-LTHKG,Female,1,No,Yes,17,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,63.09,1047.46,No
9779-UEHYC,Male,0,No,No,71,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),65.83,4389.74,No
5548-ENMVM,Male,0,No,No,67,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,66.53,4332.65,No
5190-XVQVB,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,77.47,4446.53,No
7062-YFJYL,Male,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,92.4,1191.45,Yes
3311-SKUWU,Female,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.97,536.93,Yes
8412-FGUMF,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,90.08,3954.24,No
1210-TUPFW,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),85.86,255.01,No
3111-NWKDL,Female,1,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.54,1729.13,No
5639-JKBLW,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.6,2363.14,No
2749-WRURT,Female,1,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.17,85.98,Yes
3823-MVFSL,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),30.79,618.88,No
2363-DVUBG,Male,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.25,830.73,Yes
6246-ZDSHP,Male,1,Yes,No,47,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,78.53,3498.8,No
8617-ZDZFG,Female,0,No,No,43,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),58.81,2393.06,No
3934-HNNGD,Male,0,No,Yes,27,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.68,1808.12,No
7383-VKZMH,Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),88.14,3753.11,No
2028-FQLUN,Female,0,No,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,93.88,6001.25,Yes
1806-MRUSV,Male,0,No,No,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,62.27,1554.62,Yes
4919-YEPHY,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),77.62,1928.37,No
5145-YVZCY,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,87.83,573.57,No
2809-ERLAV,Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,83.89,2200.55,No
6076-DGXXC,Male,0,No,No,20,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,56.09,1079.65,Yes
2062-LFTYH,Female,0,No,No,55,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),57.26,3136.35,No
5915-JUQDJ,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.45,755.29,Yes
8583-FMWQU,Male,0,Yes,No,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),67.94,2710.01,No
2243-ZYVFX,Male,0,No,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,86.8,4485.09,No
8813-LJDDQ,Female,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.74,1507.83,Yes
2947-NPQZY,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.07,301.65,Yes
8811-PTCZJ,Female,1,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.25,845.64,No
4054-ZQSMS,Male,0,No,Yes,42,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.3,2461.82,No
4072-TXFAQ,Female,0,No,No,41,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,52.88,2096.53,No
1989-XKYDL,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.72,1982.72,No
5232-JLEFQ,Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,83.98,561.6,Yes
7645-DQJZL,Male,0,No,No,14,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),70.18,929.9,Yes
8456-WXJWX,Male,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),86.98,2831.07,No
5581-NBPDF,Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.25,3149.04,Yes
7817-FPRBL,Female,1,No,No,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),91.58,5882.41,No
8050-XHBAH,Male,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.42,1241.47,No
3248-YXGUB,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,67.51,959.28,No
2820-KWCXD,Male,0,No,No,62,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),85.16,5147.46,No
2631-ZRUVL,Female,1,No,Yes,30,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),67.95,1971.36,No
6282-MJVVQ,Male,1,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,95.97,5893.65,No
7793-BGHAW,Female,0,No,No,20,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),76.7,1523.97,Yes
5194-EMYZS,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.52,1842.94,No
7035-HJJEU,Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),93.0,3460.19,No
9018-GKHBX,Male,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.32,1164.62,No
5391-PYHYT,Female,0,Yes,Yes,71,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,56.35,3905.69,No
2115-GZQWE,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),88.28,931.6,No
1156-AEZUY,Female,1,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.92,518.64,No
8115-BKUDY,Male,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),65.94,789.8,No
1826-CKUJT,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.41,1587.09,No
8595-JXTQD,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.81,5057.55,Yes
3123-LVQLG,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),31.53,1838.36,No
5931-UXGYP,Male,0,Yes,Yes,17,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.57,1163.0,No
4073-QXTXN,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),80.11,1390.44,No
9664-ZRFGG,Male,0,Yes,No,29,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),61.53,1774.37,No
9329-WKATQ,Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.3,1409.6,No
7371-HQKMU,Male,0,No,No,54,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),58.47,3089.53,No
7289-NXYCN,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,90.95,6155.69,No
2473-VQTRR,Female,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),87.16,4907.64,No
7725-JFSDX,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.73,1676.26,No
2210-FSUXF,Female,1,Yes,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.78,407.89,Yes
3068-VWLZS,Male,1,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.6,943.11,No
1601-FLQJS,Female,0,No,No,38,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.69,2022.0,Yes
6031-SUSEY,Male,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,187.29,No
7959-GBWZJ,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),80.27,5468.92,No
5215-HZQTX,Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),92.34,680.44,No
2820-LXLPL,Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.73,2799.36,No
9056-ZSFUY,Male,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.81,441.82,No
4608-KPDUS,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,88.6,1388.89,No
6311-ZNZRF,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.26,858.54,No
6478-JSPBS,Male,0,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.49,2849.42,Yes
5770-JLKQD,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,89.86,2326.54,Yes
9072-LEHFB,Male,0,No,No,65,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,63.55,3807.65,No
7619-YXQBU,Female,0,Yes,Yes,51,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.25,2843.96,No
2951-CPFDJ,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.59,1421.11,No
2491-VLAUE,Male,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),92.65,4929.26,No
4366-TERCH,Female,0,No,No,58,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,61.53,3315.15,No
5807-JPAZM,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,91.29,1171.93,No
2880-QMWHC,Male,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.59,755.9,Yes
5428-LYBCY,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),77.86,4780.79,No
1752-RCNHS,Male,1,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,88.99,4896.93,No
6128-CWWGS,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.48,98.92,No
7880-WPYPA,Male,0,No,Yes,17,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,70.26,1161.68,No
4119-CXHXJ,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1587.69,Yes
2049-YHWGX,Female,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,86.0,3037.05,No
9303-FESUB,Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.77,4759.2,Yes
1856-WGEJS,Male,1,No,No,35,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),55.49,1925.5,No
4008-MVKJH,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,66.66,850.09,No
8033-VRWCX,Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.23,1156.7,No
8825-AYATD,Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.3,445.38,No
4974-JLDBV,Female,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.14,1062.11,No
5749-MWNLF,Male,0,Yes,No,71,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,86.3,5887.62,No
2811-PFDNS,Female,0,No,No,46,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,56.42,2439.98,Yes
3235-JYTPY,Female,0,Yes,No,66,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),82.85,5148.27,No
9508-UXKKJ,Male,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,88.79,3247.83,No
9626-TSSFV,Female,0,No,No,59,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.45,4800.9,No
8513-QUBJC,Male,0,Yes,No,68,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,54.58,3569.22,No
3349-HJDJH,Female,0,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),70.42,817.07,No
