gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,40,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,58.8,2266.57,No
Male,0,Yes,Yes,17,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.25,1097.21,Yes
Male,0,Yes,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.8,1019.73,No
Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.15,3410.88,No
Female,0,No,Yes,19,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.38,1771.12,Yes
Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,93.61,1354.28,No
Male,0,No,No,20,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,59.68,1174.0,No
Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.44,1195.76,No
Male,1,Yes,Yes,38,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.34,2500.26,No
Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.69,4694.51,Yes
Male,1,Yes,No,52,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.93,3634.83,Yes
Male,0,No,Yes,58,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.47,3865.11,No
Male,0,No,No,62,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.47,4943.09,No
Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.71,1325.45,No
Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.49,807.52,No
Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.99,1277.47,No
Female,0,No,No,68,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,81.26,5245.22,No
Male,0,Yes,Yes,23,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.78,1763.26,Yes
Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.82,641.08,No
Female,0,No,Yes,64,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,62.08,3878.14,No
Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.79,1115.87,No
Male,0,No,Yes,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),49.39,477.0,No
Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.35,658.3,No
Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,97.06,1662.57,No
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,87.75,2804.7,No
Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.14,1756.72,No
Female,0,Yes,Yes,61,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),51.46,2994.6,Yes
Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,86.45,5775.15,Yes
Female,0,No,Yes,54,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),53.94,2707.13,No
Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.55,1037.13,No
Male,0,No,No,48,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,108.24,4852.61,No
Female,0,No,No,36,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.38,1948.07,Yes
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.47,151.77,Yes
Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.41,214.76,No
Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.73,1071.63,No
Male,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.97,1218.32,No
Female,0,No,No,18,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.86,1436.01,No
Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,90.22,172.1,Yes
Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.01,448.07,No
Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),92.07,2016.17,Yes
Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.34,1338.39,No
Male,1,Yes,Yes,30,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.91,1532.68,Yes
Male,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,92.85,6197.55,No
Male,0,No,No,65,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,53.21,3305.41,No
Male,0,No,No,62,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.74,4587.33,Yes
Male,0,No,Yes,70,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,54.41,3592.4,No
Female,1,No,Yes,17,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,63.09,1047.46,No
Male,0,No,No,71,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),65.83,4389.74,No
Male,0,No,No,67,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,66.53,4332.65,No
Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,77.47,4446.53,No
Male,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,92.4,1191.45,Yes
Female,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.97,536.93,Yes
Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,90.08,3954.24,No
Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),85.86,255.01,No
Female,1,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.54,1729.13,No
Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.6,2363.14,No
Female,1,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.17,85.98,Yes
Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),30.79,618.88,No
Male,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.25,830.73,Yes
Male,1,Yes,No,47,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,78.53,3498.8,No
Female,0,No,No,43,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),58.81,2393.06,No
Male,0,No,Yes,27,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.68,1808.12,No
Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),88.14,3753.11,No
Female,0,No,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,93.88,6001.25,Yes
Male,0,No,No,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,62.27,1554.62,Yes
Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),77.62,1928.37,No
Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,87.83,573.57,No
Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,83.89,2200.55,No
Male,0,No,No,20,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,56.09,1079.65,Yes
Female,0,No,No,55,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),57.26,3136.35,No
Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.45,755.29,Yes
Male,0,Yes,No,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),67.94,2710.01,No
Male,0,No,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,86.8,4485.09,No
Female,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.74,1507.83,Yes
Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.07,301.65,Yes
Female,1,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.25,845.64,No
Male,0,No,Yes,42,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.3,2461.82,No
Female,0,No,No,41,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,52.88,2096.53,No
Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.72,1982.72,No
Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,83.98,561.6,Yes
Male,0,No,No,14,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),70.18,929.9,Yes
Male,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),86.98,2831.07,No
Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.25,3149.04,Yes
Female,1,No,No,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),91.58,5882.41,No
Male,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.42,1241.47,No
Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,67.51,959.28,No
Male,0,No,No,62,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),85.16,5147.46,No
Female,1,No,Yes,30,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),67.95,1971.36,No
Male,1,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,95.97,5893.65,No
Female,0,No,No,20,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),76.7,1523.97,Yes
Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.52,1842.94,No
Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),93.0,3460.19,No
Male,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.32,1164.62,No
Female,0,Yes,Yes,71,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,56.35,3905.69,No
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),88.28,931.6,No
Female,1,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.92,518.64,No
Male,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),65.94,789.8,No
Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.41,1587.09,No
Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.81,5057.55,Yes
Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),31.53,1838.36,No
Male,0,Yes,Yes,17,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.57,1163.0,No
Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),80.11,1390.44,No
Male,0,Yes,No,29,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),61.53,1774.37,No
Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.3,1409.6,No
Male,0,No,No,54,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),58.47,3089.53,No
Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,90.95,6155.69,No
Female,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),87.16,4907.64,No
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.73,1676.26,No
Female,1,Yes,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.78,407.89,Yes
Male,1,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.6,943.11,No
Female,0,No,No,38,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.69,2022.0,Yes
Male,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,187.29,No
Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),80.27,5468.92,No
Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),92.34,680.44,No
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.73,2799.36,No
Male,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.81,441.82,No
Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,88.6,1388.89,No
Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.26,858.54,No
Male,0,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.49,2849.42,Yes
Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,89.86,2326.54,Yes
Male,0,No,No,65,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,63.55,3807.65,No
Female,0,Yes,Yes,51,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.25,2843.96,No
Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.59,1421.11,No
Male,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),92.65,4929.26,No
Female,0,No,No,58,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,61.53,3315.15,No
Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,91.29,1171.93,No
Male,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.59,755.9,Yes
Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),77.86,4780.79,No
Male,1,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,88.99,4896.93,No
Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.48,98.92,No
Male,0,No,Yes,17,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,70.26,1161.68,No
Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1587.69,Yes
Female,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,86.0,3037.05,No
Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.77,4759.2,Yes
Male,1,No,No,35,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),55.49,1925.5,No
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,66.66,850.09,No
Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.23,1156.7,No
Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.3,445.38,No
Female,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.14,1062.11,No
Male,0,Yes,No,71,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,86.3,5887.62,No
Female,0,No,No,46,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,56.42,2439.98,Yes
Female,0,Yes,No,66,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),82.85,5148.27,No
Male,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,88.79,3247.83,No
Female,0,No,No,59,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.45,4800.9,No
Male,0,Yes,No,68,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,54.58,3569.22,No
Female,0,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),70.42,817.07,No
Male,0,Yes,No,48,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,50.96,2288.08,No
Female,0,No,No,18,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),60.11,1073.4,No
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),93.29,550.65,Yes
Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),36.1,579.44,No
Male,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,99.67,970.83,No
Female,0,Yes,No,13,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),65.48,850.37,Yes
Female,0,No,Yes,0,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,64.85,0.0,Yes
Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,85.27,5712.1,No
Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,86.26,2543.42,No
Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),93.29,1109.28,Yes
Female,0,No,No,25,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),56.58,1367.11,No
Male,0,No,No,54,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),83.17,4441.21,No
Female,0,No,Yes,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),92.68,4007.77,No
Female,0,No,No,3,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),72.64,202.33,No
Male,1,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),30.29,297.59,No
Male,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,83.49,3041.65,No
Female,0,Yes,No,70,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,68.21,4758.93,No
Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),96.15,461.26,No
Female,0,No,No,62,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,78.54,4533.42,Yes
Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,27.83,111.21,Yes
Male,0,No,No,36,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,67.15,2228.43,No
Female,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.66,311.67,No
